agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_links
157,1002,4009,1,1025,1,1;2;3
158,1002,4010,1,8,1,1;2;3
159,1002,4011,1,0,1,1;2;3
160,1002,4012,1,0,1,1;2;3
161,1002,4013,1,24,1,1;2;3
162,1002,4014,1,1258,1,1;2;3
163,1002,4015,1,0,1,1;2;3
164,1002,4016,1,0,1,1;2;3
165,1002,4017,1,0,1,1;2;3
166,1002,4018,1,0,1,1;2;3
167,1002,4019,1,2327,1,1;2;3
168,1002,4020,1,1073,1,1;2;3
169,1002,4021,1,0,1,1;2;3
170,1002,4022,1,140,1,1;2;3
171,1002,4023,1,0,1,1;2;3
172,1002,4024,1,6208,1,1;2;3
173,1002,4025,1,1,1,1;2;3
174,1002,4026,1,0,1,1;2;3
175,1002,4027,1,0,1,1;2;3
176,1002,4028,1,539,1,1;2;3
177,1002,4029,1,0,1,1;2;3
178,1002,4030,1,0,1,1;2;3
179,1002,4031,1,0,1,1;2;3
180,1002,4032,1,0,1,1;2;3
181,1002,4033,1,955,1,1;2;3
182,1002,4034,1,0,1,1;2;3
183,1002,4035,1,0,1,1;2;3
184,1002,4036,1,0,1,1;2;3
185,1002,4037,1,8033,1,1;2;3
186,1002,4038,1,0,1,1;2;3
187,1002,4039,1,0,1,1;2;3
188,1002,4040,1,48,1,1;2;3
189,1002,4041,1,448,1,1;2;3
190,1002,4042,1,1,1,1;2;3
191,1002,4043,1,0,1,1;2;3
192,1002,4044,1,0,1,1;2;3
193,1002,4045,1,28,1,1;2;3
194,1002,4046,1,15,1,1;2;3
195,1002,4047,1,1,1,1;2;3
196,1002,4048,1,49,1,1;2;3
197,1002,4049,1,0,1,1;2;3
198,1002,4050,1,2,1,1;2;3
199,1002,4051,1,112,1,1;2;3
200,1002,4052,1,0,1,1;2;3
201,1002,4053,1,0,1,1;2;3
202,1002,4054,1,0,1,1;2;3
203,1002,4055,1,1,1,1;2;3
204,1002,4056,1,4,1,1;2;3
205,1002,4057,1,21,1,1;2;3
206,1002,4058,1,5,1,1;2;3
207,1002,4059,1,817,1,1;2;3
208,1002,4060,1,0,1,1;2;3
209,1002,4061,1,958,1,1;2;3
210,1002,4062,1,0,1,1;2;3
211,1002,4063,1,11,1,1;2;3
212,1002,4064,1,0,1,1;2;3
213,1002,4065,1,53,1,1;2;3
214,1002,4066,1,0,1,1;2;3
215,1002,4067,1,322,1,1;2;3
216,1002,4068,1,0,1,1;2;3
217,1002,4069,1,0,1,1;2;3
218,1002,4070,1,2874,1,1;2;3
219,1002,4071,1,623,1,1;2;3
220,1002,4072,1,0,1,1;2;3
221,1002,4073,1,43,1,1;2;3
222,1002,4074,1,2,1,1;2;3
223,1002,4075,1,0,1,1;2;3
224,1002,4076,1,0,1,1;2;3
225,1002,4077,1,0,1,1;2;3
226,1002,4078,1,0,1,1;2;3
227,1002,4079,1,0,1,1;2;3
228,1002,4080,1,0,1,1;2;3
229,1002,4081,1,3355,1,1;2;3
230,1002,4082,1,0,1,1;2;3
231,1002,4083,1,5,1,1;2;3
232,1002,4084,1,0,1,1;2;3
233,1002,4085,1,6,1,1;2;3
234,1002,4086,1,1,1,1;2;3
235,1002,4087,1,6753,1,1;2;3
236,1002,4088,1,210,1,1;2;3
237,1002,4089,1,7361,1,1;2;3
238,1002,4090,1,0,1,1;2;3
239,1002,4091,1,1684,1,1;2;3
240,1002,4092,1,573,1,1;2;3
241,1002,4093,1,0,1,1;2;3
242,1002,4094,1,0,1,1;2;3
243,1002,4095,1,0,1,1;2;3
244,1002,4096,1,0,1,1;2;3
245,1002,4097,1,0,1,1;2;3
246,1002,4098,1,0,1,1;2;3
247,1002,4099,1,0,1,1;2;3
248,1002,4100,1,54,1,1;2;3
249,1002,4101,1,0,1,1;2;3
250,1002,4102,1,956,1,1;2;3
251,1002,4103,1,14,1,1;2;3
252,1002,4104,1,0,1,1;2;3
253,1002,4105,1,0,1,1;2;3
254,1002,4106,1,1192,1,1;2;3
255,1002,4107,1,0,1,1;2;3
256,1002,4108,1,310,1,1;2;3
257,1002,4109,1,90,1,1;2;3
258,1002,4110,1,115,1,1;2;3
259,1002,4111,1,2,1,1;2;3
260,1002,4112,1,0,1,1;2;3
261,1002,4113,1,4,1,1;2;3
262,1002,4114,1,0,1,1;2;3
263,1002,4115,1,3,1,1;2;3
264,1002,4116,1,15,1,1;2;3
265,1002,4117,1,3641,1,1;2;3
266,1002,4118,1,2,1,1;2;3
267,1002,4119,1,180,1,1;2;3
268,1002,4120,1,1145,1,1;2;3
269,1002,4121,1,0,1,1;2;3
270,1002,4122,1,0,1,1;2;3
271,1002,4123,1,17,1,1;2;3
272,1002,4124,1,0,1,1;2;3
273,1002,4125,1,2483,1,1;2;3
274,1002,4126,1,1,1,1;2;3
275,1002,4127,1,18,1,1;2;3
276,1002,4128,1,0,1,1;2;3
277,1002,4129,1,0,1,1;2;3
278,1002,4130,1,0,1,1;2;3
279,1002,4131,1,14,1,1;2;3
280,1002,4132,1,0,1,1;2;3
281,1002,4133,1,0,1,1;2;3
282,1002,4134,1,1,1,1;2;3
283,1002,4135,1,100,1,1;2;3
284,1002,4136,1,0,1,1;2;3
285,1002,4137,1,0,1,1;2;3
286,1002,4138,1,0,1,1;2;3
287,1002,4139,1,0,1,1;2;3
288,1002,4140,1,111,1,1;2;3
289,1002,4141,1,0,1,1;2;3
290,1002,4142,1,0,1,1;2;3
291,1002,4143,1,0,1,1;2;3
292,1002,4144,1,6,1,1;2;3
293,1002,4145,1,677,1,1;2;3
294,1002,4146,1,30,1,1;2;3
295,1002,4147,1,0,1,1;2;3
296,1002,4148,1,1,1,1;2;3
297,1002,4149,1,0,1,1;2;3
298,1002,4150,1,601,1,1;2;3
299,1003,4001,1,26,1,1;2;3
300,1003,4002,1,0,1,1;2;3
301,1003,4004,1,4,1,1;2;3
302,1003,4005,1,4366,1,1;2;3
303,1003,4006,1,0,1,1;2;3
304,1003,4007,1,1454,1,1;2;3
305,1003,4008,1,0,1,1;2;3
306,1003,4009,1,0,1,1;2;3
307,1003,4010,1,77,1,1;2;3
308,1003,4011,1,0,1,1;2;3
309,1003,4012,1,0,1,1;2;3
310,1003,4013,1,1,1,1;2;3
311,1003,4014,1,0,1,1;2;3
312,1003,4015,1,3,1,1;2;3
313,1003,4016,1,1,1,1;2;3
314,1003,4017,1,3375,1,1;2;3
315,1003,4018,1,2294,1,1;2;3
316,1003,4019,1,283,1,1;2;3
317,1003,4020,1,11,1,1;2;3
318,1003,4021,1,0,1,1;2;3
319,1003,4022,1,0,1,1;2;3
320,1003,4023,1,0,1,1;2;3
321,1003,4024,1,0,1,1;2;3
322,1003,4025,1,0,1,1;2;3
323,1003,4026,1,524,1,1;2;3
324,1003,4027,1,22,1,1;2;3
325,1003,4028,1,0,1,1;2;3
326,1003,4029,1,0,1,1;2;3
327,1003,4030,1,3,1,1;2;3
328,1003,4031,1,29,1,1;2;3
329,1003,4032,1,1,1,1;2;3
330,1003,4033,1,63,1,1;2;3
331,1003,4034,1,415,1,1;2;3
332,1003,4035,1,3778,1,1;2;3
333,1003,4036,1,0,1,1;2;3
334,1003,4037,1,0,1,1;2;3
335,1003,4038,1,0,1,1;2;3
336,1003,4039,1,0,1,1;2;3
337,1003,4040,1,0,1,1;2;3
338,1003,4041,1,0,1,1;2;3
339,1003,4042,1,0,1,1;2;3
340,1003,4043,1,0,1,1;2;3
341,1003,4044,1,163,1,1;2;3
342,1003,4045,1,0,1,1;2;3
343,1003,4046,1,260,1,1;2;3
344,1003,4047,1,0,1,1;2;3
345,1003,4048,1,1,1,1;2;3
346,1003,4049,1,0,1,1;2;3
347,1003,4050,1,1,1,1;2;3
348,1003,4051,1,464,1,1;2;3
349,1003,4052,1,2666,1,1;2;3
350,1003,4053,1,0,1,1;2;3
351,1003,4054,1,0,1,1;2;3
352,1003,4055,1,5,1,1;2;3
353,1003,4056,1,785,1,1;2;3
354,1003,4057,1,0,1,1;2;3
355,1003,4058,1,0,1,1;2;3
356,1003,4059,1,0,1,1;2;3
357,1003,4060,1,0,1,1;2;3
358,1003,4061,1,699,1,1;2;3
359,1003,4062,1,0,1,1;2;3
360,1003,4063,1,1,1,1;2;3
361,1003,4064,1,0,1,1;2;3
362,1003,4065,1,0,1,1;2;3
363,1003,4066,1,0,1,1;2;3
364,1003,4067,1,813,1,1;2;3
365,1003,4068,1,69,1,1;2;3
366,1003,4069,1,0,1,1;2;3
367,1003,4070,1,0,1,1;2;3
368,1003,4071,1,0,1,1;2;3
369,1003,4072,1,0,1,1;2;3
370,1003,4073,1,0,1,1;2;3
371,1003,4074,1,0,1,1;2;3
372,1003,4075,1,1,1,1;2;3
373,1003,4076,1,0,1,1;2;3
374,1003,4077,1,295,1,1;2;3
375,1003,4078,1,8,1,1;2;3
376,1003,4079,1,0,1,1;2;3
377,1003,4080,1,2,1,1;2;3
378,1003,4081,1,0,1,1;2;3
379,1003,4082,1,9,1,1;2;3
380,1003,4083,1,462,1,1;2;3
381,1003,4084,1,0,1,1;2;3
382,1003,4085,1,1229,1,1;2;3
383,1003,4086,1,0,1,1;2;3
384,1003,4087,1,29,1,1;2;3
385,1003,4088,1,0,1,1;2;3
386,1003,4089,1,1,1,1;2;3
387,1003,4090,1,0,1,1;2;3
388,1003,4091,1,334,1,1;2;3
389,1003,4092,1,2,1,1;2;3
390,1003,4093,1,28,1,1;2;3
391,1003,4094,1,0,1,1;2;3
392,1003,4095,1,0,1,1;2;3
393,1003,4096,1,116,1,1;2;3
394,1003,4097,1,0,1,1;2;3
395,1003,4098,1,0,1,1;2;3
396,1003,4099,1,2,1,1;2;3
397,1003,4100,1,8,1,1;2;3
398,1003,4101,1,0,1,1;2;3
399,1003,4102,1,0,1,1;2;3
400,1003,4103,1,0,1,1;2;3
401,1003,4104,1,244,1,1;2;3
402,1003,4105,1,9,1,1;2;3
403,1003,4106,1,4,1,1;2;3
404,1003,4107,1,2045,1,1;2;3
405,1003,4108,1,6440,1,1;2;3
406,1003,4109,1,5,1,1;2;3
407,1003,4110,1,29,1,1;2;3
408,1003,4111,1,0,1,1;2;3
409,1003,4112,1,0,1,1;2;3
410,1003,4113,1,214,1,1;2;3
411,1003,4114,1,0,1,1;2;3
412,1003,4115,1,0,1,1;2;3
413,1003,4116,1,0,1,1;2;3
414,1003,4117,1,40,1,1;2;3
415,1003,4118,1,0,1,1;2;3
416,1003,4119,1,0,1,1;2;3
417,1003,4120,1,2423,1,1;2;3
418,1003,4121,1,0,1,1;2;3
419,1003,4122,1,853,1,1;2;3
420,1003,4123,1,0,1,1;2;3
421,1003,4124,1,6953,1,1;2;3
422,1003,4125,1,0,1,1;2;3
423,1003,4126,1,152,1,1;2;3
424,1003,4127,1,192,1,1;2;3
425,1003,4128,1,0,1,1;2;3
426,1003,4129,1,0,1,1;2;3
427,1003,4130,1,1,1,1;2;3
428,1003,4131,1,2,1,1;2;3
429,1003,4132,1,0,1,1;2;3
430,1003,4133,1,0,1,1;2;3
431,1003,4134,1,0,1,1;2;3
432,1003,4135,1,395,1,1;2;3
433,1003,4136,1,0,1,1;2;3
434,1003,4137,1,0,1,1;2;3
435,1003,4138,1,5978,1,1;2;3
436,1003,4139,1,127,1,1;2;3
437,1003,4140,1,1,1,1;2;3
438,1003,4141,1,0,1,1;2;3
439,1003,4142,1,0,1,1;2;3
440,1003,4143,1,0,1,1;2;3
441,1003,4144,1,0,1,1;2;3
442,1003,4145,1,3,1,1;2;3
443,1003,4146,1,4,1,1;2;3
444,1003,4147,1,0,1,1;2;3
445,1003,4148,1,0,1,1;2;3
446,1003,4149,1,0,1,1;2;3
447,1003,4150,1,0,1,1;2;3
448,1004,4001,1,0,1,1;2;3
449,1004,4002,1,0,1,1;2;3
450,1004,4003,1,0,1,1;2;3
451,1004,4005,1,2,1,1;2;3
452,1004,4006,1,0,1,1;2;3
453,1004,4007,1,0,1,1;2;3
454,1004,4008,1,0,1,1;2;3
455,1004,4009,1,12,1,1;2;3
456,1004,4010,1,0,1,1;2;3
457,1004,4011,1,967,1,1;2;3
458,1004,4012,1,485,1,1;2;3
459,1004,4013,1,53,1,1;2;3
460,1004,4014,1,0,1,1;2;3
461,1004,4015,1,3908,1,1;2;3
462,1004,4016,1,9,1,1;2;3
463,1004,4017,1,2122,1,1;2;3
464,1004,4018,1,0,1,1;2;3
465,1004,4019,1,3436,1,1;2;3
466,1004,4020,1,224,1,1;2;3
467,1004,4021,1,0,1,1;2;3
468,1004,4022,1,0,1,1;2;3
469,1004,4023,1,0,1,1;2;3
470,1004,4024,1,0,1,1;2;3
471,1004,4025,1,1208,1,1;2;3
472,1004,4026,1,15,1,1;2;3
473,1004,4027,1,0,1,1;2;3
474,1004,4028,1,0,1,1;2;3
475,1004,4029,1,0,1,1;2;3
476,1004,4030,1,0,1,1;2;3
477,1004,4031,1,3,1,1;2;3
478,1004,4032,1,0,1,1;2;3
479,1004,4033,1,4,1,1;2;3
480,1004,4034,1,0,1,1;2;3
481,1004,4035,1,0,1,1;2;3
482,1004,4036,1,4,1,1;2;3
483,1004,4037,1,249,1,1;2;3
484,1004,4038,1,0,1,1;2;3
485,1004,4039,1,9,1,1;2;3
486,1004,4040,1,0,1,1;2;3
487,1004,4041,1,1,1,1;2;3
488,1004,4042,1,0,1,1;2;3
489,1004,4043,1,0,1,1;2;3
490,1004,4044,1,0,1,1;2;3
491,1004,4045,1,1,1,1;2;3
492,1004,4046,1,86,1,1;2;3
493,1004,4047,1,1,1,1;2;3
494,1004,4048,1,0,1,1;2;3
495,1004,4049,1,0,1,1;2;3
496,1004,4050,1,100,1,1;2;3
497,1004,4051,1,6,1,1;2;3
498,1004,4052,1,580,1,1;2;3
499,1004,4053,1,0,1,1;2;3
500,1004,4054,1,0,1,1;2;3
501,1004,4055,1,0,1,1;2;3
502,1004,4056,1,223,1,1;2;3
503,1004,4057,1,1,1,1;2;3
504,1004,4058,1,0,1,1;2;3
505,1004,4059,1,0,1,1;2;3
506,1004,4060,1,0,1,1;2;3
507,1004,4061,1,1,1,1;2;3
508,1004,4062,1,66,1,1;2;3
509,1004,4063,1,135,1,1;2;3
510,1004,4064,1,0,1,1;2;3
511,1004,4065,1,0,1,1;2;3
512,1004,4066,1,0,1,1;2;3
513,1004,4067,1,7714,1,1;2;3
514,1004,4068,1,0,1,1;2;3
515,1004,4069,1,6098,1,1;2;3
516,1004,4070,1,0,1,1;2;3
517,1004,4071,1,0,1,1;2;3
518,1004,4072,1,870,1,1;2;3
519,1004,4073,1,395,1,1;2;3
520,1004,4074,1,561,1,1;2;3
521,1004,4075,1,2,1,1;2;3
522,1004,4076,1,10,1,1;2;3
523,1004,4077,1,0,1,1;2;3
524,1004,4078,1,202,1,1;2;3
525,1004,4079,1,0,1,1;2;3
526,1004,4080,1,827,1,1;2;3
527,1004,4081,1,0,1,1;2;3
528,1004,4082,1,238,1,1;2;3
529,1004,4083,1,53,1,1;2;3
530,1004,4084,1,0,1,1;2;3
531,1004,4085,1,0,1,1;2;3
532,1004,4086,1,0,1,1;2;3
533,1004,4087,1,0,1,1;2;3
534,1004,4088,1,0,1,1;2;3
535,1004,4089,1,0,1,1;2;3
536,1004,4090,1,1,1,1;2;3
537,1004,4091,1,5728,1,1;2;3
538,1004,4092,1,0,1,1;2;3
539,1004,4093,1,0,1,1;2;3
540,1004,4094,1,105,1,1;2;3
541,1004,4095,1,0,1,1;2;3
542,1004,4096,1,3195,1,1;2;3
543,1004,4097,1,0,1,1;2;3
544,1004,4098,1,1,1,1;2;3
545,1004,4099,1,0,1,1;2;3
546,1004,4100,1,0,1,1;2;3
547,1004,4101,1,245,1,1;2;3
548,1004,4102,1,0,1,1;2;3
549,1004,4103,1,127,1,1;2;3
550,1004,4104,1,0,1,1;2;3
551,1004,4105,1,0,1,1;2;3
552,1004,4106,1,0,1,1;2;3
553,1004,4107,1,0,1,1;2;3
554,1004,4108,1,0,1,1;2;3
555,1004,4109,1,80,1,1;2;3
556,1004,4110,1,202,1,1;2;3
557,1004,4111,1,0,1,1;2;3
558,1004,4112,1,0,1,1;2;3
559,1004,4113,1,0,1,1;2;3
560,1004,4114,1,0,1,1;2;3
561,1004,4115,1,934,1,1;2;3
562,1004,4116,1,0,1,1;2;3
563,1004,4117,1,0,1,1;2;3
564,1004,4118,1,1,1,1;2;3
565,1004,4119,1,0,1,1;2;3
566,1004,4120,1,9,1,1;2;3
567,1004,4121,1,0,1,1;2;3
568,1004,4122,1,0,1,1;2;3
569,1004,4123,1,0,1,1;2;3
570,1004,4124,1,0,1,1;2;3
571,1004,4125,1,1,1,1;2;3
572,1004,4126,1,0,1,1;2;3
573,1004,4127,1,0,1,1;2;3
574,1004,4128,1,0,1,1;2;3
575,1004,4129,1,1,1,1;2;3
576,1004,4130,1,2,1,1;2;3
577,1004,4131,1,134,1,1;2;3
578,1004,4132,1,0,1,1;2;3
579,1004,4133,1,1,1,1;2;3
580,1004,4134,1,1890,1,1;2;3
581,1004,4135,1,0,1,1;2;3
582,1004,4136,1,40,1,1;2;3
583,1004,4137,1,1436,1,1;2;3
584,1004,4138,1,10,1,1;2;3
585,1004,4139,1,0,1,1;2;3
586,1004,4140,1,0,1,1;2;3
587,1004,4141,1,165,1,1;2;3
588,1004,4142,1,0,1,1;2;3
589,1004,4143,1,2,1,1;2;3
590,1004,4144,1,0,1,1;2;3
591,1004,4145,1,5404,1,1;2;3
592,1004,4146,1,0,1,1;2;3
593,1004,4147,1,1843,1,1;2;3
594,1004,4148,1,0,1,1;2;3
595,1004,4149,1,284,1,1;2;3
596,1004,4150,1,945,1,1;2;3
597,1005,4001,1,4,1,1;2;3
598,1005,4002,1,3,1,1;2;3
599,1005,4003,1,784,1,1;2;3
600,1005,4004,1,132,1,1;2;3
601,1005,4006,1,0,1,1;2;3
602,1005,4007,1,0,1,1;2;3
603,1005,4008,1,0,1,1;2;3
604,1005,4009,1,46,1,1;2;3
605,1005,4010,1,40,1,1;2;3
606,1005,4011,1,0,1,1;2;3
607,1005,4012,1,0,1,1;2;3
608,1005,4013,1,0,1,1;2;3
609,1005,4014,1,0,1,1;2;3
610,1005,4015,1,6926,1,1;2;3
611,1005,4016,1,0,1,1;2;3
612,1005,4017,1,0,1,1;2;3
613,1005,4018,1,66,1,1;2;3
614,1005,4019,1,2,1,1;2;3
615,1005,4020,1,0,1,1;2;3
616,1005,4021,1,0,1,1;2;3
617,1005,4022,1,456,1,1;2;3
618,1005,4023,1,2042,1,1;2;3
619,1005,4024,1,0,1,1;2;3
620,1005,4025,1,0,1,1;2;3
621,1005,4026,1,86,1,1;2;3
622,1005,4027,1,0,1,1;2;3
623,1005,4028,1,100,1,1;2;3
624,1005,4029,1,10,1,1;2;3
625,1005,4030,1,0,1,1;2;3
626,1005,4031,1,0,1,1;2;3
627,1005,4032,1,0,1,1;2;3
628,1005,4033,1,1,1,1;2;3
629,1005,4034,1,0,1,1;2;3
630,1005,4035,1,557,1,1;2;3
631,1005,4036,1,7,1,1;2;3
632,1005,4037,1,519,1,1;2;3
633,1005,4038,1,0,1,1;2;3
634,1005,4039,1,11,1,1;2;3
635,1005,4040,1,36,1,1;2;3
636,1005,4041,1,0,1,1;2;3
637,1005,4042,1,81,1,1;2;3
638,1005,4043,1,0,1,1;2;3
639,1005,4044,1,0,1,1;2;3
640,1005,4045,1,0,1,1;2;3
641,1005,4046,1,223,1,1;2;3
642,1005,4047,1,0,1,1;2;3
643,1005,4048,1,1231,1,1;2;3
644,1005,4049,1,112,1,1;2;3
645,1005,4050,1,0,1,1;2;3
646,1005,4051,1,0,1,1;2;3
647,1005,4052,1,0,1,1;2;3
648,1005,4053,1,1009,1,1;2;3
649,1005,4054,1,1,1,1;2;3
650,1005,4055,1,1,1,1;2;3
651,1005,4056,1,439,1,1;2;3
652,1005,4057,1,1,1,1;2;3
653,1005,4058,1,0,1,1;2;3
654,1005,4059,1,1048,1,1;2;3
655,1005,4060,1,62,1,1;2;3
656,1005,4061,1,0,1,1;2;3
657,1005,4062,1,0,1,1;2;3
658,1005,4063,1,0,1,1;2;3
659,1005,4064,1,0,1,1;2;3
660,1005,4065,1,0,1,1;2;3
661,1005,4066,1,0,1,1;2;3
662,1005,4067,1,0,1,1;2;3
663,1005,4068,1,3,1,1;2;3
664,1005,4069,1,211,1,1;2;3
665,1005,4070,1,3646,1,1;2;3
666,1005,4071,1,95,1,1;2;3
667,1005,4072,1,0,1,1;2;3
668,1005,4073,1,71,1,1;2;3
669,1005,4074,1,0,1,1;2;3
670,1005,4075,1,6,1,1;2;3
671,1005,4076,1,819,1,1;2;3
672,1005,4077,1,3858,1,1;2;3
673,1005,4078,1,0,1,1;2;3
674,1005,4079,1,0,1,1;2;3
675,1005,4080,1,3,1,1;2;3
676,1005,4081,1,2740,1,1;2;3
677,1005,4082,1,418,1,1;2;3
678,1005,4083,1,0,1,1;2;3
679,1005,4084,1,0,1,1;2;3
680,1005,4085,1,399,1,1;2;3
681,1005,4086,1,0,1,1;2;3
682,1005,4087,1,3,1,1;2;3
683,1005,4088,1,1,1,1;2;3
684,1005,4089,1,0,1,1;2;3
685,1005,4090,1,0,1,1;2;3
686,1005,4091,1,3200,1,1;2;3
687,1005,4092,1,0,1,1;2;3
688,1005,4093,1,1,1,1;2;3
689,1005,4094,1,0,1,1;2;3
690,1005,4095,1,0,1,1;2;3
691,1005,4096,1,0,1,1;2;3
